,Instace name,Lyu's Obj.Value,Lyu's t(s),Model with SBC's Obj.Value,Model with SBC's t(s)
0,./PDPTWT/3R4K4T/3R-4K-4T-180L-0.txt,494.7951391,15.80699992,494.7951391,15.97300005
1,./PDPTWT/3R4K4T/3R-4K-4T-180L-1.txt,400.9731729,11.70900011,400.9731729,12.02999997
2,./PDPTWT/3R4K4T/3R-4K-4T-180L-2.txt,554.3193173,18.36199999,554.3193173,18.62599993
3,./PDPTWT/3R4K4T/3R-4K-4T-180L-3.txt,619.5316685,60.80099988,619.5316685,60.62800002
4,./PDPTWT/3R4K4T/3R-4K-4T-180L-4.txt,432.9577552,48.52600002,432.9577552,48.91100001
5,./PDPTWT/3R4K4T/3R-4K-4T-180L-5.txt,497.9784123,89.7110002,497.9784123,90.19000006
6,./PDPTWT/3R4K4T/3R-4K-4T-180L-6.txt,567.580557,5.353000164,567.580557,5.407999992
7,./PDPTWT/3R4K4T/3R-4K-4T-180L-7.txt,591.7105953,14.19199991,591.7105953,13.71800017
8,./PDPTWT/3R4K4T/3R-4K-4T-180L-8.txt,476.5556944,11.6730001,476.5556944,11.66700006
9,./PDPTWT/3R4K4T/3R-4K-4T-180L-9.txt,562.6976722,11.05300021,562.6976722,11.11400008
,AVERAGE,519.9099984,28.71870005,519.9099984,28.82650003
